name,pricing_type,min_charge,pricing_value,price_as_fabric,tier_formula,assembler_note,seamstress_note,embellisher_note,is_embellishment_option,is_interlining_option,parent_name,data
Arch,parent,,,0,,,,,0,0,,
Back Flap,parent,,,0,,,,,0,0,,
Ball Trim,parent,,,0,,,,,1,0,,
Banding,parent,,,0,,,,,1,0,,
Bands,parent,,,0,,,,,0,0,,
Batteries,parent,,,0,,,,,0,0,,
Bead Chain,parent,,,0,,,,,0,0,,
Bead Trim,parent,,,0,,,,,0,0,,
Blackout,parent,,,0,,,,,0,1,,
Bottom Up,parent,,,0,,,,,0,0,,
Bow,parent,,,0,,,,,0,0,,
Button,parent,,,0,,,,,0,0,,
Cleat,parent,,,0,,,,,0,0,,
Concave,parent,,,0,,,,,0,0,,
Continuous Cord,parent,,,0,,,,,0,0,,
Cording,parent,,,0,,,,,0,0,,
Cordless Hardware,parent,,,0,,,,,0,0,,
Cutout,parent,,,0,,,,,0,0,,
Cutout Shade,parent,,,0,,,,,0,0,,
Difficult,parent,,,0,,,,,0,0,,
Discount,parent,,,0,,,,,0,0,,
Flange,parent,,,0,,,,,0,0,,
Folds,parent,,,0,,,,,0,0,,
Fringe,parent,,,0,,,,,0,0,,
Front Slat,parent,,,0,,,,,0,0,,
Gimp,parent,,,0,,,,,0,0,,
Hand Sew,parent,,,0,,,,,0,0,,
Handling,parent,,,0,,,,,0,0,,
Headerboard,parent,,,0,,,,,0,0,,
Hourly Labor,parent,,,0,,,,,0,0,,
Interlining,parent,,,0,,,,,0,1,,
Knots,parent,,,0,,,,,0,0,,
Line Skirt,parent,,,0,,,,,0,0,,
Lining,parent,,,0,,,,,0,0,,
Memory Stitch,parent,,,0,,,,,0,0,,
Motorization,parent,,,0,,,,,0,0,,
Nail Heads,parent,,,0,,,,,0,0,,
Oversize,parent,,,0,,,,,0,0,,
Peak Top,parent,,,0,,,,,0,0,,
Piecing,parent,,,0,,,,,0,0,,
Pillow,parent,,,0,,,,,0,0,,
Pleats,parent,,,0,,,,,0,0,,
Poufs,parent,,,0,,,,,0,0,,
Railroading,parent,,,0,,,,,0,0,,
Restring,parent,,,0,,,,,0,0,,
Rings,parent,,,0,,,,,0,0,,
Rod,parent,,,0,,,,,0,0,,
Rosettes,parent,,,0,,,,,0,0,,
Ruffle Gathered,parent,,,0,,,,,0,0,,
Ruffle Pleated,parent,,,0,,,,,0,0,,
Side Tabs,parent,,,0,,,,,0,0,,
Skirt,parent,,,0,,,,,0,0,,
Slanted Top,parent,,,0,,,,,0,0,,
Slanted Top Drapery,parent,,,0,,,,,0,0,,
Small Spacing,parent,,,0,,,,,0,0,,
Straps,parent,,,0,,,,,0,0,,
Stringing,parent,,,0,,,,,0,0,,
Surcharge,parent,,,0,,,,,0,0,,
Tab Top,parent,,,0,,,,,0,0,,
Take Apart,parent,,,0,,,,,0,0,,
Tassel Trim,parent,,,0,,,,,0,0,,
Tie Backs,parent,,,0,,,,,0,0,,
Ties,parent,,,0,,,,,0,0,,
Ties With Bows,parent,,,0,,,,,0,0,,
Top Down Bottom Up,parent,,,0,,,,,0,0,,
Trim,parent,,,0,,,,,1,0,,
Valance Application,parent,,,0, ,,,,0,0,,
Velcro,parent,,,0,,,,,0,0,,
Welting,parent,,,0,,,,,0,0,,
Arch Top,percent,,0.35,0,,Arch Top,,,0,0,Arch,size_top;
Back Flap,flat,12,4,0,,Attached to back of board,Lining Valance,,0,0,Back Flap,size;
Ball Trim - Bottom,w1,16,4,0,,,,,0,0,Ball Trim,size_bottom;
Ball Trim - Inset Bottom,w1,16,4,0,,,,,0,0,Ball Trim,size_bottom;inset_size_bottom;
Ball Trim - Inset Sides,l2,16,4,0,,,,,0,0,Ball Trim,size_sides;inset_size_sides;
"Ball Trim - Inset Sides, Bottom",l2w1,16,4,0,,,,,0,0,Ball Trim,size_bottom;size_sides;inset_size_sides;inset_size_bottom;
"Ball Trim - Inset Sides, Bottom, Top",l2w2,16,4,0,,,,,0,0,Ball Trim,size_bottom;size_sides;size_top;inset_size_sides;inset_size_bottom;inset_size_top;
Ball Trim - Sides,l2,16,4,0,,,,,0,0,Ball Trim,size_sides;
