tShadeName,Pricing_Type,nShadePrice,CutLengthAddInches_inv,CutLengthFormula,DefaultPanelSpacing,HeightPoufAdjustment,HeightRodAdjustment,nHeaderboardIn,nHeaderboardOut,nLengthMultiply,nLengthMultiply_inv,nLengthPlus,nLengthPlus_inv,nOuterRings,nOuterRingsDivisor,nPoufAdjustment_inv,nPricePlusPercentage,nWidthMultiply,nWidthMultiply_inv,nWidthPlus,nWidthPlus_inv,poufy,RingRowMinimum,RodDeduction,RodType,Shade_Type,shadeShape,TDBU Clutch Deduction,TDBU Cord Lock Deduction,TDBU Motorized Deduction,tRingOrGrommet,tSideHemType,tTakeLining,tTakeReturn,Valance_Price,ValanceMinimum,is_tdbu,PanelPoufAdjustment,PanelRodAdjustment,WidthPlusInterlining
Austrian,Square Feet,15,,FH + Board,,,,0.125,0.125,3,3,,,1,16.875,,,1.5,2,,,,0,0.75,Flat Plastic,Shade,Austrian,,,,White Ring,1.25,Yes,No,,0.01,,,,
Casual with Tails-o,Square Feet,8.5,,FH + Board,,17,22,0.125,0,,,,30,1,1,,,,,8,10,Yes,2,,,Shade,Square/Trapezoid,,,,Brass Ring,1,Yes,Yes,,,,3,4,
Soft Casual-o,Square Feet,8.5,,FH + Board,,17,22,0.125,0,,,,30,1,45,,,,,8,10,Yes,2,,,Shade,Square/Trapezoid,,,,Brass Ring,1,Yes,Yes,,,,3,4,
Gathered Casual-o,Square Feet,9,,FH + Board,,17,22,0.125,0,,,,30,1,1,,,1.5,1.5,,,Yes,0,,,Shade,Square,,,,Brass Ring,1,Yes,Yes,,0.01,,3,4,
Pltd. Soft Casual-o,Square Feet,9,,FH + Board,,17,22,0.125,0,,,30,30,1,1,,,1.35,1.35,,,Yes,2,,,Shade,Square,,,,Brass Ring,1,Yes,Yes,,0.01,,3,4,
Stagecoach,Square Feet,9,30,,,,,0.125,0.125,,2,,,1,1,,,,,4,3,,0,,,Shade,Square,,,,White Ring,,,No,,,,,,
Soft Fold,Square Feet,10,24,Spaces x PS,,,,0.125,0.125,,2,,,1.5,15,,,,,5,5,,0,1,Round Plastic,Shade,Square,,,,White Ring,1,Yes,No,,0.01,,,,
Shirred Soft Fold,Square Feet,12.5,24,Spaces x PS,,,,0.125,0.125,,2,,,1.5,15,,,,2.5,5,5,,0,1,Round Plastic,Shade,Square,,,,White Ring,1,Yes,No,,0.1,,,,
Deco Fold,Square Feet,11.26,24,Spaces x PS,6,,,0.125,0.125,,2,,,1.5,15,,,,,5,5,,0,1,Round Plastic,Shade,Square,,,,Brass Ring,1.5,Yes,No,,0.01,,,,
Front Slat,Square Feet,10.5,8,L + Spaces x 2,,,,0.125,0.125,,1.75,,,1.5,15,,,,,5,5,,0,1,Round Plastic,Shade,Square,3.25,2.5,5,Brass Ring,1,Yes,No,,,,,,3
