,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
BEST-LINE NAME,BEST-LINE COLOR,FABRIC BOOK & ROTATION,PRICE GRADE,WIDTH/ REPEAT,VENDOR,VENDOR NAME,VENDOR COLOR,CUT PRICE     (BL pays per yard),PIECE PRICE    (BL pays per yard),WHOLESALE PRICE (BL charges per yard),SWATCH,,,,,
Andes,Natural,EARTH 2    26,A,54/0,Covington,Pebbletex,Natural,,$4.50,$22.00,,,,,,
Andes,White,EARTH 2    8,A,54/0,Covington,Pebbletex,White,,$4.50,$22.00,,,,,,
Aurora,Navy,SKY            27,F,52/         V-3.875 H-3.875,Fabricut,Circle Suzani,Navy,$25.95,,$54.25,,,,,,
Aurora,Red,SKY            20,F,52/         V-3.875 H-3.875,Fabricut,Circle Suzani,Merlot,$25.95,,$54.25,,,,,,
Birch,Carmel,Wood,S,72/0,Newcastle,Tangiers,TA 3,,$22.81,$48.00,,,,,,
Birch,Sand,Wood,S,72/0,Newcastle,Tangiers,TA 2,,$22.81,$48.00,,,,,,
Birch,Vanilla,Wood,S,72/0,Newcastle,Tangiers,TA 1,,$22.81,$48.00,,,,,,
Biscayne,Eggshell,EARTH 2    13,C,54/V-0    H-1.75,Fabricut,Drexler Stripe,Ivory,$18.30,,$32.00,,,,,,
Biscayne,Grey,EARTH 2    55,C,54/V-0    H-1.75,Fabricut,Drexler Stripe,Flax,$18.30,,$32.00,,,,,,
Biscayne,Linen,EARTH 2    96,C,54/V-0    H-1.75,Fabricut,Drexler Stripe,Beige,$18.30,,$32.00,,,,,,
Brandon,Buff,EARTH 2    43,A,54/0,Trend,02626,Natural,$10.95,,$22.00,,,,,,
Brandon,Taupe,EARTH 2    40,A,54/0,Trend,02626,Buff,$10.95,,$22.00,,,,,,
Buffalo,Ecru,EARTH 2      2,E,55/         V-.125   H-6.75,Fabricut,Chase,Sandstone,$22.15,,$42.00,,,,,,
Buffalo,Gold,EARTH 2    44,E,55/         V-.125   H-6.75,Fabricut,Chase,Ivory,$22.15,,$42.00,,,,,,
Carlsbad,Mocha,EARTH 2    71,F,129/0,Fabricut,Ginger,Café,$30.25,,$54.25,,,,,,
Colorado,Brown,EARTH 2    68,C,59/0,Fabricut,Eleganza,Bison,$17.30,,$32.00,,,,,,
Colorado,Ginger,SKY             7,C,59/0,Fabricut,Eleganza,Coin,$17.30,,$32.00,,,,,,
Colorado,Mushroom,EARTH 2    48,C,59/0,Fabricut,Eleganza,Mushroom,$17.30,,$32.00,,,,,,
Colorado,Raffia,EARTH 2    81,C,59/0,Fabricut,Eleganza,Frost,$17.30,,$32.00,,,,,,
Colorado,Sandstone,EARTH 2    39,C,59/0,Fabricut,Eleganza,Ecru,$17.30,,$32.00,,,,,,
Colorado,White,EARTH 2    12,C,59/0,Fabricut,Eleganza,Diamond,$17.30,,$32.00,,,,,,
Columbia,Bermuda,SKY        42,A,54/0,Trend,02636,Bermuda,$10.50,,$22.00,,,,,,
Columbia,Ivory,EARTH 2    20,A,54/0,Trend,02636,Ecru,$10.50,,$22.00,,,,,,
Columbia,Sage,SKY           44,A,54/0,Trend,02636,Sage,$10.50,,$22.00,,,,,,
Columbia,Soleil,SKY          2,A,54/0,Trend,02636,Soleil,$10.50,,$22.00,,,,,,
Columbia,Straw,EARTH 2    35,A,54/0,Trend,02636,Champagne,$10.50,,$22.00,,,,,,
Congaree,Taupe,EARTH 2     37,D,54/0,Fabricut,Baber,Natural,$20.15,,$37.25,,,,,,
Coronado,Elephant,EARTH 2    57,C,54/0,Trend,02133,Elephant,$15.95,,$32.00,,,,,,
Coronado,Flax,EARTH 2    3,C,54/0,Trend,02133,Flax,$15.95,,$32.00,,,,,,
Cronus,Beige,EARTH 2    52,F,54/        V-4.25       H-4.375,Fabricut,Jimbu,Natural,$35.20,,$54.25,,,,,,
Cronus,Natural,EARTH 2    73,F,54/        V-4.25       H-4.375,Fabricut,Jimbu,Ivory,$35.20,,$54.25,,,,,,
Cypress,Dune,Wood,R,72/0,Newcastle,Reeds,Wet Sand,,$16.60,$42.00,,,,,,
Cypress,White,Wood,R,72/0,Newcastle,Reeds,White,,$16.60,$42.00,,,,,,
Cypress,Wood,Wood,R,72/0,Newcastle,Reeds,Bermuda Sand,,$16.60,$42.00,,,,,,
Dawson,Conch,EARTH 2       27,B,56/0,Trend,01367,Eggshell,$12.65,,$28.25,,,,,,
Dawson,Leaf,SKY              46,B,56/0,Trend,01367,Celadon,$12.65,,$28.25,,,,,,
Dawson,Linen,EARTH 2       54,B,56/0,Trend,01367,Natural,$12.65,,$28.25,,,,,,
Dawson,Rain,SKY             35,B,56/0,Trend,01367,Rain,$12.65,,$28.25,,,,,,
Dawson,Toast,EARTH 2          77,B,56/0,Trend,01367,Raffia,$12.65,,$28.25,,,,,,
Dawson,Violet,SKY              23,B,56/0,Trend,01367,Thistle,$12.65,,$28.25,,,,,,
Dogwood,Java,Wood,S,72/0,Newcastle,Java,800,,$22.81,$48.00,,,,,,
Dogwood,Zebra,Wood,S,72/0,Newcastle,Java,801,,$22.81,$48.00,,,,,,
Elm,Ash,Wood,T,72/0,Newcastle,Taipei,WS 6,,$28.12,$54.00,,,,,,
Elm,Blonde,Wood,T,72/0,Newcastle,Taipei,WS 5,,$28.12,$54.00,,,,,,
Elm,Mocha,Wood,T,72/0,Newcastle,Taipei,WS 3,,$28.12,$54.00,,,,,,
Eucalyptus,Alabaster,Wood,T,72/0,Newcastle,Oriel,White,,$28.22,$54.00,,,,,,
Eucalyptus,Natural,Wood,T,72/0,Newcastle,Oriel,Bone,,$28.22,$54.00,,,,,,
Eucalyptus,Pecan,Wood,T,72/0,Newcastle,Oriel,Pecan,,$28.22,$54.00,,,,,,
Eucalyptus,Wheat,Wood,T,72/0,Newcastle,Oriel,Café Au Lait,,$28.22,$54.00,,,,,,
Guadalupe,Flax,EARTH 2         53,B,54/0,Trend ,02930,Grey,$11.95,,$28.25,,,,,,
Harrison,Beach,EARTH 2          31,B,55/0,Trend,01528,Alabaster,$12.95,,$28.25,,,,,,
Harrison,Stone,EARTH 2          76,B,55/0,Trend,01528,Mineral,$12.95,,$28.25,,,,,,
Harrison,Taupe,EARTH 2              72,B,55/0,Trend,01528,Dune,$12.95,,$28.25,,,,,,
