"Austrian","Square Feet","15"
"Casual with Tails-o","Square Feet","8.5"
"Soft Casual-o","Square Feet","8.5"
"Gathered Casual-o","Square Feet","9"
"Pltd. Soft Casual-o","Square Feet","9"
"Stagecoach","Square Feet","9"
"Soft Fold","Square Feet","10"
"Shirred Soft Fold","Square Feet","12.5"
"Deco Fold","Square Feet","11.26"
"Front Slat","Square Feet","9"
"Back Slate","Square Feet","9"
"Single Tuk","Square Feet","9"
"Gathered Tuk","Square Feet","12.5"
"Double Tuk","Square Feet","11.26"
"Triple Tuk","Square Feet","12.5"
"Full Tuk","Square Feet","12"
"Dog Ear","Square Feet","10"
"Balloon","Square Feet","11.26"
"Cloud","Square Feet","11.26"
"Pole Cloud","Square Feet","11.26"
"Casual-o","Square Feet","8.5"
"Soft Fold TD/BU","Square Feet","13.5"
"Soft Fold BU","Square Feet","13"
"Front Slat TD/BU","Square Feet","12.15"
"Front Slat BU","Square Feet","11.7"
"Back Slat TD/BU","Square Feet","12.15"
"Back Slat BU","Square Feet","11.7"
"Single Tuk TD/BU","Square Feet","12.15"
"Single Tuk BU","Square Feet","11.7"
"Casual BU-o","Square Feet","11.05"
"Custom Line Item","Square Feet",""
"Balloon Royale","Square Feet","15"
"Flat Valance -Max drop 6"" ","Linear Foot","5"
"Double Tuk TD/BU","Square Feet","15.2"
"Deco Fold BU","Square Feet","14.64"
"Deco Fold TD/BU","Square Feet","15.2"
"Special Order","Square Feet",""
"Dog Ear - Gathered","Square Feet","10"
"Pltd.Soft Casual w/Tails-o","Square Feet","9"
"Dog Ear Valance","Linear Foot","10"
"Cloud Valance","Linear Foot","11.26"
"Cloud w/4 Cord Shirring","Square Feet","11.26"
"Box Pltd. Valance(up to12"")","Linear Foot","8"
"Triple Tuk TD/BU","Square Feet","16.88"
"Triple Tuk BU","Square Feet","16.25"
"Box Pltd. Valance(up to 24"")","Linear Foot","8"
"Box Pltd. Valance(up to18"")","Linear Foot","8"
"Box Pltd. Valance(up to 6"")","Linear Foot","8"
"Valance - 12"" Straight","Linear Foot","4"
"Smocked Cloud","Square Feet","11.26"
"Balloon Valance","Square Feet","11.26"
"Casual with Tails Valance-o","Square Feet","8.5"
"Soft Casual Valance-o","Square Feet","8.5"
"Soft Fold Valance","Linear Foot","10"
"Flat Valance - Max drop 24"" ","Linear Foot",""
"Flat Valance -Max drop 12"" ","Linear Foot",""
"Flat Valance -Max drop 18"" ","Linear Foot",""
"Deco Fold Valance","Square Feet","11.26"
"Stagecoach Valance","Square Feet",""
"Double Tuk - BU","Square Feet","14.64"
"Pole Cloud Valance","Linear Foot","11.26"
"Pinch Pleated Panel","Flat Fee","8"
"Quadruple Tuk","Square Feet","12"
"Fan Pleated Casual-o","Square Feet","9"
"Flat Valance -Max drop 12""(not Selflined) ","Linear Foot",""
"Flat Valance -Max drop 18"" (not Selflined)","Linear Foot",""
"Flat Valance - Max drop 24"" (not Selflined)","Linear Foot",""
"Box Pltd. Valance(up to 12"") (not Selflined)","Linear Foot",""
"Box Pltd. Valance(up to 18"") (not Selflined)","Linear Foot","8"
"Box Pltd. Valance(up to 24"") (not Selflined)","Linear Foot","8"
"Scalloped Valance (up to6"")","Linear Foot",""
"Scalloped Valance (up to12"")","Linear Foot",""
"Scalloped Valance (up to18"")","Linear Foot",""
"Scalloped Valance (up to24"")","Linear Foot",""
"Flat Valance -Max drop 6"" ","Linear Foot","5"
"Gathered Soft Casual-o","Square Feet","9"
"Cornice - under 5.5"" Depth","Linear Foot","28"
"Pillow - Bolster Flat  Edge  7"" x 20"" ","Flat Fee","85"
"Pillow - Bolster Gathered  Edge  7"" x 20""","Flat Fee","85"
"Pillow - Flanged Edge up to 24""","Flat Fee","75"
"Pillow - Flanged Edge up to 36""","Flat Fee","85"
"Pillow - Soft Edge up to 36""","Flat Fee","85"
"Pillow - Soft Edge up to 24""","Flat Fee","75"
"Pillow - Knife Edge up to 24""","Flat Fee","60"
"Pillow - Knife Edge up to 36""","Flat Fee","75"
"Pillow - Grid Face up to 36""","Flat Fee","120"
