shade_name,pricing_type,shade_price,cut_length_add_inches_invoice,cut_length_formula,default_panel_spacing,pouf_height_adjustment,rod_height_adjustment,headerboard_deduction_if_in,headerboard_deduction_if_out,length_multiplier,length_multipler_invoice,length_plus,length_plus_invoic,outer_rings,outer_rings_divsor,pouf_adjustment_invoice,add_percentage_to_price,width_multiplier,width_multiplier_invoice,width_plus,width_plus_invoic,is_pouf,ring_row_minimum ,rod_deduction,rod_type,shade_type,shade_shape,tdbu_clutch_deduction,tdbu_cord_lock_deduction,tdbu_motorized_deduction,ring_hardware,side_hem_width,take_lining,take_return,valance_price,valance_minimum_charge
Austrian,Square Feet,15,,FH + Board,,,,.125,.125,3,3,,,1,16.875,,,1.5,2,,,,,0.75,Flat Plastic,Shade,Austrian,,,,White Ring,1.25,Yes,No,,0.01
Casual with Tails-o,Square Feet,8.5,,FH + Board,,17,22,.125,0,,,,30,1,,,,,,8,10,Yes,2,,,Shade,Square/Trapezoid,,,,Brass Ring,1,Yes,Yes,,
Soft Casual-o,Square Feet,8.5,,FH + Board,,17,22,.125,0,,,,30,1,45,,,,,8,10,Yes,2,,,Shade,Square/Trapezoid,,,,Brass Ring,1,Yes,Yes,,
Gathered Casual-o,Square Feet,9,,FH + Board,,17,22,.125,0,,,,30,1,,,,1.5,1.5,,,Yes,,,,Shade,Square,,,,Brass Ring,1,Yes,Yes,,0.01
Pltd. Soft Casual-o,Square Feet,9,,FH + Board,,17,22,.125,0,,,30,30,1,,,,1.35,1.35,,,Yes,2,,,Shade,Square,,,,Brass Ring,1,Yes,Yes,,0.01
Stagecoach,Square Feet,9,30,,,,,.125,.125,,2,,,,,,,,,4,3,,,,,Shade,Square,,,,White Ring,,,No,,
Soft Fold,Square Feet,10,24,Spaces x PS,,,,.125,.125,,2,,,1.5,15,,,,,5,5,,,1,Round Plastic,Shade,Square,,,,White Ring,1,Yes,No,,0.01
Shirred Soft Fold,Square Feet,12.5,24,Spaces x PS,,,,.125,.125,,2,,,1.5,15,,,,2.5,5,5,,,1,Round Plastic,Shade,Square,,,,White Ring,1,Yes,No,,0.1
Deco Fold,Square Feet,11.26,24,Spaces x PS,6,,,.125,.125,,2,,,1.5,15,,,,,5,5,,,1,Round Plastic,Shade,Square,,,,Brass Ring,1.5,Yes,No,,0.01
Front Slat,Square Feet,9,,L + Spaces x 2,,,,.125,.125,,1.75,,,1.5,15,,,,,5,5,,,1,Round Plastic,Shade,Square,,,,Brass Ring,1,Yes,No,,
"Back Slat
",Square Feet,9,,L + Spaces x 2,,,,,.125,,1.75,,,1.5,15,,,,,5,5,,,1,Round Plastic,Shade,Square,,,,Brass Ring,1,Yes,No,,
Single Tuk,Square Feet,9,,L + Spaces x 2,,,,.125,.125,1.75,1.75,,,1.5,15,,,,,10,10,,3,0.25,Flat Plastic,Shade,Square,,,,Silver Grommet,2,Yes,No,,0.01
Gathered Tuk,Square Feet,12.5,,,,,27,.125,.125,1.75,1.75,,,1.5,15,,,1.5,1.5,,,,3,,,Shade,Square,,,,Silver Grommet,2,Yes,No,,0.01
Double Tuk,Square Feet,11.26,,L + Spaces x 4,,,,.125,.125,,2,,,1.5,15,,,,,10,10,,3,0.25,Flat Plastic,Shade,Square,,,,Silver Grommet,2,Yes,No,,0.01
